source_record_id,CanonicalFacilityID,canonical_key
349,FAC-0001,3381 worthington|49.2551|-123.0328
351,FAC-0002,38th avenue group home|49.2365|-123.0949
352,FAC-0003,47th avenue residence|49.2279|-123.07
357,FAC-0004,6655a and 6655b arlington street|49.2229|-123.0292
358,FAC-0005,6699 arlington|49.2226|-123.0295
375,FAC-0006,adanac park lodge|49.2771|-123.0246
382,FAC-0007,alder house|49.2462|-123.0655
400,FAC-0008,ananda house|49.2635|-123.079
406,FAC-0009,aquarius medical clinic|49.2738|-123.1207
431,FAC-0010,banfield pavilion vancouver general hospital|49.2612|-123.1188
433,FAC-0011,banyan house|49.2476|-123.0334
445,FAC-0012,bc children s hospital|49.2446|-123.1257
446,FAC-0013,bc women s hospital and health centre|49.2436|-123.1254
460,FAC-0014,berman house|49.2719|-123.062
483,FAC-0015,birchwood house|49.2504|-123.151
486,FAC-0016,blenheim lodge|49.2573|-123.1791
501,FAC-0017,bridge house|49.2537|-123.075
503,FAC-0018,britannia lodge|49.2752|-123.0653
504,FAC-0019,british columbia children s hospital|49.2443|-123.1255
505,FAC-0020,broadway house|49.2421|-123.0657
506,FAC-0021,broadway pentecostal lodge|49.2674|-123.1344
507,FAC-0022,broadway station medical clinic|49.2619|-123.0696
530,FAC-0023,byron house|49.2568|-123.093
535,FAC-0024,camille house|49.2578|-123.1054
549,FAC-0025,care point medical and wellness clinics|49.2702|-123.0698
561,FAC-0026,carolina house|49.2488|-123.0917
578,FAC-0027,central city lodge|49.2831|-123.1119
584,FAC-0028,champlain house|49.2227|-123.048
587,FAC-0029,charles street group home|49.2735|-123.0314
597,FAC-0030,chester house|49.2367|-123.0889
603,FAC-0031,children s and women s health centre of british columbia|49.2461|-123.1275
622,FAC-0032,coal harbour health centre|49.288|-123.1238
623,FAC-0033,coast magnolia house|49.254|-123.0886
625,FAC-0034,coast west|49.2692|-123.181
629,FAC-0035,collingwood house|49.2393|-123.0262
633,FAC-0036,columbus residence|49.2088|-123.121
636,FAC-0037,commercial drive medical clinic|49.2711|-123.0697
653,FAC-0038,cottage hospice|49.2911|-123.06
674,FAC-0039,crofton manor|49.2353|-123.168
675,FAC-0040,cross roads clinics|49.2633|-123.1154
676,FAC-0041,crossroads|49.2679|-123.1834
698,FAC-0042,denman medical centre|49.288|-123.1411
704,FAC-0043,doc side medical|49.281|-123.0901
706,FAC-0044,dogwood lodge|49.2186|-123.118
707,FAC-0045,doman house|49.2204|-123.0372
715,FAC-0046,dr peter aids foundation residence|49.2817|-123.13
718,FAC-0047,duke house|49.2393|-123.0498
728,FAC-0048,east 36th house|49.2384|-123.0987
729,FAC-0049,east 45th group home|49.2297|-123.0525
730,FAC-0050,east 61st community house|49.2147|-123.092
752,FAC-0051,emerald place|49.2845|-123.0445
753,FAC-0052,emerge addiction recovery program|49.2831|-123.1119
767,FAC-0053,fair haven homes vancouver lodge|49.2254|-123.0514
772,FAC-0054,false creek residence|49.2673|-123.129
780,FAC-0055,finnish home|49.2082|-123.0607
784,FAC-0056,firstcare medical centre|49.2615|-123.0698
803,FAC-0057,fourth and alma|49.2689|-123.1845
817,FAC-0058,g f strong rehabilitation centre|49.2468|-123.1254
831,FAC-0059,george pearson centre|49.2188|-123.1211
833,FAC-0060,georgia medical clinic|49.2924|-123.1342
834,FAC-0061,german canadian care home|49.2099|-123.0651
840,FAC-0062,gladstone house l t services|49.243|-123.0635
841,FAC-0063,gladstone street group home|49.2356|-123.0623
877,FAC-0064,granville medical clinic|49.2629|-123.1386
900,FAC-0065,haro park centre|49.2858|-123.129
904,FAC-0066,hastings sunrise medical clinic|49.2809|-123.0583
911,FAC-0067,health and home care society of british columbia|49.2249|-123.051
937,FAC-0068,holy family hospital|49.2133|-123.0731
964,FAC-0069,jasper crescent care home|49.2122|-123.0665
972,FAC-0070,journeys|49.2682|-123.0331
988,FAC-0071,keefer medical clinic|49.2793|-123.102
993,FAC-0072,kerrisdale medical clinic|49.2336|-123.1541
1003,FAC-0073,king edward house|49.2484|-123.087
1025,FAC-0074,kopernik lodge|49.2152|-123.039
1037,FAC-0075,lakeside house|49.2505|-123.0605
1054,FAC-0076,leaside place|49.2122|-123.0689
1062,FAC-0077,little mountain place|49.2377|-123.0999
1068,FAC-0078,louis brier home|49.2345|-123.129
1070,FAC-0079,louis brier hospital|49.2341|-123.1293
1071,FAC-0080,loyal medical clinic|49.2854|-123.122
1093,FAC-0081,maple medical clinic|49.2639|-123.1512
1104,FAC-0082,marine gateway medical clinic|49.2104|-123.1168
1113,FAC-0083,matters of health medical clinic|49.2356|-123.1556
1115,FAC-0084,may s place|49.2832|-123.097
1132,FAC-0085,melody house|49.2706|-123.1682
1140,FAC-0086,mid main community health centre|49.2495|-123.1006
1166,FAC-0087,mount saint joseph hospital|49.2577|-123.0964
1169,FAC-0088,mount st joseph hospital extended care unit|49.2579|-123.095
1240,FAC-0089,onsite detox and transitional housing|49.2817|-123.1012
1258,FAC-0090,our place|49.2407|-123.0993
1262,FAC-0091,pacific medical clinic|49.2286|-123.0906
1264,FAC-0092,pacifica treatment centre|49.2607|-123.0684
1308,FAC-0093,pender house|49.2799|-123.052
1328,FAC-0094,point grey medical clinic|49.2638|-123.2075
1349,FAC-0095,providence health care administrative office st paul s hospital|49.2805|-123.1282
1350,FAC-0096,providence health care holy family hospital|49.2127|-123.0731
1351,FAC-0097,providence health care mount saint joseph hospital|49.258|-123.0953
1358,FAC-0098,qe park medical clinic|49.2495|-123.1152
1384,FAC-0099,renfrew care centre|49.2679|-123.044
1385,FAC-0100,renfrew house|49.2543|-123.0301
1433,FAC-0101,robson medical centre|49.2784|-123.1154
1446,FAC-0102,royal arch masonic home|49.2135|-123.0288
1457,FAC-0103,s u c c e s s simon k y lee seniors care home|49.2798|-123.105
1466,FAC-0104,salvation army harbour light centre|49.2824|-123.101
1485,FAC-0105,seymour health centre|49.2651|-123.1405
1489,FAC-0106,shaw place|49.2326|-123.095
