index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude,province_normalized,city_normalized,facility_name_normalized,source_record_id,InsideVancouverCSD2016,CMNTY_HLTH_SERV_AREA_CODE,CMNTY_HLTH_SERV_AREA_NAME,SpatialAssignmentStatus,coord_key,canonical_key,CanonicalFacilityID
349,3381 worthington,,Nursing and residential care facilities,Province of British Columbia,,3381,worthington dr,V5M3X8,vancouver,bc,3381 worthington dr vancouver bc v5m 3x8,Vancouver,5915022,59,49.2551157,-123.0327623,BC,vancouver,3381 worthington,349,True,3233,Renfrew-Collingwood,Assigned by point-in-polygon,49.2551|-123.0328,3381 worthington|49.2551|-123.0328,FAC-0001
351,38th avenue group home,,Nursing and residential care facilities,Province of British Columbia,,461,e 38 ave,V5W1H8,vancouver,bc,461 e 38th ave vancouver bc v5w 1h8,Vancouver,5915022,59,49.2364595,-123.0949445,BC,vancouver,38th avenue group home,351,True,3253,South Cambie/Riley Park,Assigned by point-in-polygon,49.2365|-123.0949,38th avenue group home|49.2365|-123.0949,FAC-0002
352,47th avenue residence,,Nursing and residential care facilities,Province of British Columbia,,1759,e 47 ave,V5P1P6,vancouver,bc,1759 e 47th ave vancouver bc v5p 1p6,Vancouver,5915022,59,49.2279307,-123.070041,BC,vancouver,47th avenue residence,352,True,3264,Victoria-Fraserview,Assigned by point-in-polygon,49.2279|-123.07,47th avenue residence|49.2279|-123.07,FAC-0003
357,6655a and 6655b arlington street,,Nursing and residential care facilities,Province of British Columbia,,6655,arlington st,V5S3P1,vancouver,bc,6655 arlington st vancouver bc v5s 3p1,Vancouver,5915022,59,49.222888,-123.029207,BC,vancouver,6655a and 6655b arlington street,357,True,3261,Killarney,Assigned by point-in-polygon,49.2229|-123.0292,6655a and 6655b arlington street|49.2229|-123.0292,FAC-0004
358,6699 arlington,,Nursing and residential care facilities,Province of British Columbia,,6699,arlington st,V5S3P1,vancouver,bc,6699 arlington st vancouver bc v5s 3p1,Vancouver,5915022,59,49.222641,-123.029465,BC,vancouver,6699 arlington,358,True,3261,Killarney,Assigned by point-in-polygon,49.2226|-123.0295,6699 arlington|49.2226|-123.0295,FAC-0005
375,adanac park lodge,,Nursing and residential care facilities,Province of British Columbia,,851,boundary rd,V5K4T2,vancouver,bc,851 boundary rd vancouver bc v5k 4t2,Vancouver,5915022,59,49.2770771,-123.0245958,BC,vancouver,adanac park lodge,375,True,3232,Hastings-Sunrise,Assigned by point-in-polygon,49.2771|-123.0246,adanac park lodge|49.2771|-123.0246,FAC-0006
382,alder house,,Nursing and residential care facilities,Province of British Columbia,,4349,victoria dr,V5N4M9,vancouver,bc,4349 victoria dr vancouver bc v5n 4m9,Vancouver,5915022,59,49.2461756,-123.0655383,BC,vancouver,alder house,382,True,3231,Cedar Cottage,Assigned by point-in-polygon,49.2462|-123.0655,alder house|49.2462|-123.0655,FAC-0007
400,ananda house,,Nursing and residential care facilities,Province of British Columbia,,1249,e 8 ave,V5T1V3,vancouver,bc,1249 e 8th ave vancouver bc v5t 1v3,Vancouver,5915022,59,49.263484,-123.079,BC,vancouver,ananda house,400,True,3252,Mount Pleasant,Assigned by point-in-polygon,49.2635|-123.079,ananda house|49.2635|-123.079,FAC-0008
406,aquarius medical clinic,,Ambulatory health care services,Province of British Columbia,,202-179,davie street,V6Z2Y1,vancouver,bc,202-179 davie street vancouver bc v6z 2y1,Vancouver,5915022,59,49.273776,-123.120741,BC,vancouver,aquarius medical clinic,406,True,3211,Downtown Vancouver,Assigned by point-in-polygon,49.2738|-123.1207,aquarius medical clinic|49.2738|-123.1207,FAC-0009
431,banfield pavilion - vancouver general hospital,,Nursing and residential care facilities,Province of British Columbia,,2785,ash st,V5Z1M9,vancouver,bc,2785 ash st vancouver bc v5z 1m9,Vancouver,5915022,59,49.2611939,-123.1187682,BC,vancouver,banfield pavilion vancouver general hospital,431,True,3213,Fairview,Assigned by point-in-polygon,49.2612|-123.1188,banfield pavilion vancouver general hospital|49.2612|-123.1188,FAC-0010
