CH_SA_CODE,CH_SA_NAME,CHSPOP_CEN,GRP_A_TTL,0_14_A_TTL,65PLS_A_TL,LG_FRM_GNR,YouthShare,SeniorShare,AgeDependencyShare,YouthPercentile,SeniorPercentile,CommunityVulnerabilityProxyScore,DataBlindspotScore,GNRRiskBand,CityOverlapShare
3211,Downtown Vancouver,47335,41270,2780,4550,8.2,0.06736127937969469,0.11024957596316937,0.17761085534286405,10.526315789473683,15.789473684210526,13.16,92.11,Medium (5%-10%),1.0
3212,West End,47746,46720,1965,6720,6.9,0.04205907534246575,0.14383561643835616,0.1858946917808219,5.263157894736842,47.368421052631575,26.32,71.05,Medium (5%-10%),1.000000000000001
3213,Fairview,33271,31935,2425,5155,5.6,0.0759354939721309,0.16142163770158133,0.23735713167371222,15.789473684210526,63.1578947368421,39.47,36.84,Medium (5%-10%),0.9999999999999992
3221,Downtown Eastside,20798,15540,1250,2805,13.5,0.08043758043758044,0.1805019305019305,0.26093951093951095,21.052631578947366,89.47368421052632,55.26,100.0,High (>10%),0.9999999999999998
3222,Northeast False Creek,14223,11810,965,995,8.2,0.0817104149026249,0.0842506350550381,0.165961049957663,26.31578947368421,10.526315789473683,18.42,92.11,Medium (5%-10%),1.0
3223,Grandview-Woodland,28786,29005,3090,3480,6.1,0.10653335631787623,0.11997931391139459,0.22651267022927082,42.10526315789473,21.052631578947366,31.58,52.63,Medium (5%-10%),0.9999999999999998
3231,Cedar Cottage,18327,17590,2520,2245,5.2,0.14326321773735076,0.12762933484934622,0.270892552586697,73.68421052631578,26.31578947368421,50.0,18.42,Medium (5%-10%),1.0000000000000002
3232,Hastings-Sunrise,35405,34115,4705,5690,5.8,0.1379158727832332,0.16678880257951048,0.30470467536274365,63.1578947368421,73.68421052631578,68.42,47.37,Medium (5%-10%),0.9999999938405874
3233,Renfrew-Collingwood,52713,51010,6195,7800,7.5,0.121446775142129,0.15291119388355223,0.2743579690256812,52.63157894736842,57.89473684210527,55.26,84.21,Medium (5%-10%),0.9999999944487838
3241,Shaughnessy/Arbutus Ridge/Kerrisdale,38640,37250,5145,7380,5.2,0.13812080536912752,0.19812080536912752,0.33624161073825504,68.42105263157895,100.0,84.21,18.42,Medium (5%-10%),0.999999992711212
3242,West Point Grey/Dunbar-Southlands,34866,34180,5360,6085,5.1,0.15681685196021064,0.17802808660035108,0.33484493856056174,100.0,84.21052631578947,92.11,10.53,Medium (5%-10%),0.8463686115976757
3244,Kitsilano,44216,42550,4290,5500,5.6,0.10082256169212692,0.12925969447708577,0.23008225616921268,36.84210526315789,31.57894736842105,34.21,36.84,Medium (5%-10%),0.9999999999999996
3251,Kensington,32972,31625,4600,4400,6.8,0.14545454545454545,0.1391304347826087,0.2845849802371542,78.94736842105263,36.84210526315789,57.89,63.16,Medium (5%-10%),1.0000000000000004
3252,Mount Pleasant,37620,31985,2960,2540,6.9,0.0925433797092387,0.0794122244802251,0.17195560418946382,31.57894736842105,5.263157894736842,18.42,71.05,Medium (5%-10%),1.0000000000000004
3253,South Cambie/Riley Park,34226,30725,4630,4285,5.6,0.15069161920260374,0.13946297803091945,0.2901545972335232,94.73684210526315,42.10526315789473,68.42,36.84,Medium (5%-10%),0.9999999999999992
3261,Killarney,33258,29140,4290,4745,4.8,0.14722031571722718,0.16283459162663005,0.31005490734385727,84.21052631578947,68.42105263157895,76.32,5.26,Low (<5%),0.9999911745050144
3262,Oakridge/Marpole,41569,37110,4310,6355,6.2,0.1161412018323902,0.1712476421449744,0.2873888439773646,47.368421052631575,78.94736842105263,63.16,57.89,Medium (5%-10%),0.9995150959304506
3263,Sunset,37170,36075,5390,5210,7.1,0.1494109494109494,0.1444213444213444,0.2938322938322938,89.47368421052632,52.63157894736842,71.05,78.95,Medium (5%-10%),0.9999991099327508
3264,Victoria-Fraserview,30753,30235,3795,5525,5.3,0.12551678518273524,0.1827352406151811,0.30825202579791633,57.89473684210527,94.73684210526315,76.32,26.32,Medium (5%-10%),0.999913824389449
