CH_SA_CODE,CH_SA_NAME,FacilityCount,Hospitals,Ambulatory health care services,Nursing and residential care facilities,FacilitiesPer10K,PopulationPerFacility,HealthcareSupplyScore,HealthcareSupplyGapScore
3211,Downtown Vancouver,9,0,8,1,1.9013415020597866,5259.444444444444,47.37,52.63
3212,West End,8,4,2,2,1.6755330289448331,5968.25,26.32,73.68
3213,Fairview,17,6,5,6,5.109554867602416,1957.1176470588234,100.0,0.0
3221,Downtown Eastside,10,0,2,8,4.8081546302529095,2079.8,89.47,10.53
3222,Northeast False Creek,0,0,0,0,0.0,,5.26,94.74
3223,Grandview-Woodland,6,0,3,3,2.0843465573542694,4797.666666666667,57.89,42.11
3231,Cedar Cottage,7,0,2,5,3.819501282261145,2618.1428571428573,84.21,15.79
3232,Hastings-Sunrise,6,0,0,6,1.6946758932354187,5900.833333333333,36.84,63.16
3233,Renfrew-Collingwood,11,0,0,11,2.0867717640809667,4792.090909090909,63.16,36.84
3241,Shaughnessy/Arbutus Ridge/Kerrisdale,8,0,2,6,2.070393374741201,4830.0,52.63,47.37
3242,West Point Grey/Dunbar-Southlands,2,0,1,1,0.5736247346985601,17433.0,10.53,89.47
3244,Kitsilano,7,0,1,6,1.5831373258548942,6316.571428571428,21.05,78.95
3251,Kensington,7,0,1,6,2.123013465971127,4710.285714285715,68.42,31.58
3252,Mount Pleasant,10,2,1,7,2.658160552897395,3762.0,73.68,26.32
3253,South Cambie/Riley Park,17,4,2,11,4.966984164085782,2013.2941176470588,94.74,5.26
3261,Killarney,6,0,0,6,1.8040772145047808,5543.0,42.11,57.89
3262,Oakridge/Marpole,7,0,1,6,1.6839471721715702,5938.428571428572,31.58,68.42
3263,Sunset,5,0,2,3,1.3451708366962605,7434.0,15.79,84.21
3264,Victoria-Fraserview,10,1,0,9,3.2517152798101,3075.3,78.95,21.05
