CH_SA_CODE,CH_SA_NAME,CHSPOP_CEN,LG_FRM_GNR,GRP_A_TTL,0_14_A_TTL
3211,Downtown Vancouver,47335,8.2,41270,2780
3212,West End,47746,6.9,46720,1965
3213,Fairview,33271,5.6,31935,2425
3221,Downtown Eastside,20798,13.5,15540,1250
3222,Northeast False Creek,14223,8.2,11810,965
3223,Grandview-Woodland,28786,6.1,29005,3090
3231,Cedar Cottage,18327,5.2,17590,2520
3232,Hastings-Sunrise,35405,5.8,34115,4705
3233,Renfrew-Collingwood,52713,7.5,51010,6195
3241,Shaughnessy/Arbutus Ridge/Kerrisdale,38640,5.2,37250,5145
3242,West Point Grey/Dunbar-Southlands,34866,5.1,34180,5360
3243,University of British Columbia,18296,4.9,14030,2260
3244,Kitsilano,44216,5.6,42550,4290
3251,Kensington,32972,6.8,31625,4600
3252,Mount Pleasant,37620,6.9,31985,2960
3253,South Cambie/Riley Park,34226,5.6,30725,4630
3261,Killarney,33258,4.8,29140,4290
3262,Oakridge/Marpole,41569,6.2,37110,4310
3263,Sunset,37170,7.1,36075,5390
3264,Victoria-Fraserview,30753,5.3,30235,3795
