CH_SA_CODE,CH_SA_NAME,CHSPOP_CEN,GRP_A_TTL,0_14_A_TTL,65PLS_A_TL,LG_FRM_GNR,YouthShare,SeniorShare,AgeDependencyShare,YouthPercentile,SeniorPercentile,CommunityVulnerabilityProxyScore,DataBlindspotScore,GNRRiskBand,CityOverlapShare,CMNTY_HLTH_SERV_AREA_CODE,Ambulatory health care services,Hospitals,Nursing and residential care facilities,FacilityCount,FacilitiesPer10K,PopulationPerFacility,HealthcareSupplyScore,HealthcareSupplyGapScore,PriorityScore_Balanced,PriorityRank_Balanced,PriorityScore_Need-focused,PriorityRank_Need-focused,PriorityScore_Uncertainty-aware,PriorityRank_Uncertainty-aware,PriorityScore_Supply-gap-focused,PriorityRank_Supply-gap-focused,ResourcePriorityScore,PriorityRank,AllocationWeight,ScenarioBudgetAllocation,ScenarioClinicalFTEAllocation,ScenarioCommunityCareAllocation,PopulationOnlyBudgetAllocation,PopulationOnlyClinicalFTEAllocation,PopulationOnlyCommunityCareAllocation,BudgetDifference,ClinicalFTEDifference,CommunityCareDifference
3211,Downtown Vancouver,47335,41270,2780,4550,8.2,0.0673612793796946,0.1102495759631693,0.177610855342864,10.526315789473683,15.789473684210526,13.16,92.11,Medium (5%-10%),1.0,3211,8,0,1,9,1.9013415020597866,5259.444444444444,47.37,52.63,44.74,14,32.9,17,52.63,9,44.74,12,44.74,14,0.06122890414222442,612289.04,3.1,61,712990.33,3.5,71,-100701.28999999992,-0.3999999999999999,-10
3212,West End,47746,46720,1965,6720,6.9,0.0420590753424657,0.1438356164383561,0.1858946917808219,5.263157894736842,47.368421052631575,26.32,71.05,Medium (5%-10%),1.000000000000001,3212,2,4,2,8,1.6755330289448331,5968.25,26.32,73.68,51.71,10,45.0,14,56.18,8,56.71,7,51.71,10,0.06447457578543389,644745.76,3.2,64,719181.07,3.6,72,-74435.30999999994,-0.3999999999999999,-8
3213,Fairview,33271,31935,2425,5155,5.6,0.0759354939721309,0.1614216377015813,0.2373571316737122,15.789473684210526,63.1578947368421,39.47,36.84,Medium (5%-10%),0.9999999999999992,3213,5,6,6,17,5.109554867602416,1957.1176470588234,100.0,0.0,26.97,19,27.37,18,26.71,19,19.34,19,26.97,19,0.04119060627583108,411906.06,2.1,41,501149.28,2.5,50,-89243.22000000003,-0.3999999999999999,-9
3221,Downtown Eastside,20798,15540,1250,2805,13.5,0.0804375804375804,0.1805019305019305,0.2609395109395109,21.052631578947366,89.47368421052632,55.26,100.0,High (>10%),0.9999999999999998,3221,2,0,8,10,4.8081546302529095,2079.8,89.47,10.53,53.03,8,46.32,12,57.5,7,39.61,15,53.03,8,0.04066441535707834,406644.15,2.0,41,313272.9,1.6,31,93371.25,0.3999999999999999,10
3222,Northeast False Creek,14223,11810,965,995,8.2,0.0817104149026249,0.0842506350550381,0.165961049957663,26.31578947368421,10.526315789473683,18.42,92.11,Medium (5%-10%),1.0,,0,0,0,0,0.0,,5.26,94.74,59.74,5,48.68,10,67.11,2,67.63,3,59.74,5,0.03748921199971714,374892.12,1.9,38,214236.01,1.1,21,160656.11,0.7999999999999998,17
3223,Grandview-Woodland,28786,29005,3090,3480,6.1,0.1065333563178762,0.1199793139113945,0.2265126702292708,42.10526315789473,21.052631578947366,31.58,52.63,Medium (5%-10%),0.9999999999999998,3223,3,0,3,6,2.0843465573542694,4797.666666666667,57.89,42.11,40.0,16,36.84,15,42.11,15,40.0,14,40.0,16,0.042510444236548886,425104.44,2.1,43,433593.31,2.2,43,-8488.869999999995,-0.10000000000000009,0
3231,Cedar Cottage,18327,17590,2520,2245,5.2,0.1432632177373507,0.1276293348493462,0.270892552586697,73.68421052631578,26.31578947368421,50.0,18.42,Medium (5%-10%),1.0000000000000002,3231,2,0,5,7,3.819501282261145,2618.1428571428573,84.21,15.79,31.84,18,36.58,16,28.68,18,28.16,18,31.84,18,0.029693083199004038,296930.83,1.5,30,276053.1,1.4,28,20877.73000000004,0.10000000000000009,2
3232,Hastings-Sunrise,35405,34115,4705,5690,5.8,0.1379158727832332,0.1667888025795104,0.3047046753627436,63.1578947368421,73.68421052631578,68.42,47.37,Medium (5%-10%),0.9999999938405874,3232,0,0,6,6,1.6946758932354187,5900.833333333333,36.84,63.16,61.58,4,64.74,4,59.47,6,62.63,5,61.58,4,0.05739139235958641,573913.92,2.9,57,533292.97,2.7,53,40620.95000000007,0.19999999999999973,4
3233,Renfrew-Collingwood,52713,51010,6195,7800,7.5,0.121446775142129,0.1529111938835522,0.2743579690256812,52.63157894736842,57.89473684210527,55.26,84.21,Medium (5%-10%),0.9999999944487838,3233,0,0,11,11,2.0867717640809667,4792.090909090909,63.16,36.84,56.97,6,52.63,8,59.87,5,50.39,10,56.97,6,0.07113261757505135,711326.18,3.5,71,793997.23,4.0,79,-82671.04999999993,-0.5,-8
3241,Shaughnessy/Arbutus Ridge/Kerrisdale,38640,37250,5145,7380,5.2,0.1381208053691275,0.1981208053691275,0.336241610738255,68.42105263157895,100.0,84.21,18.42,Medium (5%-10%),0.999999992711212,3241,2,0,6,8,2.070393374741201,4830.0,52.63,47.37,56.71,7,66.58,3,50.13,11,55.92,9,56.71,7,0.05830680443676591,583068.05,2.9,58,582020.62,2.9,58,1047.4300000000512,0.0,0
3242,West Point Grey/Dunbar-Southlands,34866,34180,5360,6085,5.1,0.1568168519602106,0.178028086600351,0.3348449385605617,100.0,84.21052631578947,92.11,10.53,Medium (5%-10%),0.8463686115976757,3242,1,0,1,2,0.5736247346985601,17433.0,10.53,89.47,70.92,2,83.16,1,62.76,4,78.55,2,70.92,2,0.06075581279448443,607558.13,3.0,61,525174.2,2.6,53,82383.93000000005,0.3999999999999999,8
3244,Kitsilano,44216,42550,4290,5500,5.6,0.1008225616921269,0.1292596944770857,0.2300822561692126,36.84210526315789,31.57894736842105,34.21,36.84,Medium (5%-10%),0.9999999999999996,3244,1,0,6,7,1.5831373258548942,6316.571428571428,21.05,78.95,48.29,12,47.9,11,48.55,12,56.97,6,48.29,12,0.059873998181115676,598739.98,3.0,60,666009.94,3.3,67,-67269.95999999996,-0.2999999999999998,-7
3251,Kensington,32972,31625,4600,4400,6.8,0.1454545454545454,0.1391304347826087,0.2845849802371542,78.94736842105263,36.84210526315789,57.89,63.16,Medium (5%-10%),1.0000000000000004,3251,1,0,6,7,2.123013465971127,4710.285714285715,68.42,31.58,51.31,11,50.52,9,51.84,10,45.53,11,51.31,11,0.05095749581685488,509574.96,2.5,51,496645.55,2.5,50,12929.410000000033,0.0,1
3252,Mount Pleasant,37620,31985,2960,2540,6.9,0.0925433797092387,0.0794122244802251,0.1719556041894638,31.57894736842105,5.263157894736842,18.42,71.05,Medium (5%-10%),1.0000000000000004,3252,1,2,7,10,2.658160552897395,3762.0,73.68,26.32,33.95,17,26.05,19,39.21,16,30.26,17,33.95,17,0.04799940351923651,479994.04,2.4,48,566656.73,2.8,57,-86662.69,-0.3999999999999999,-9
3253,South Cambie/Riley Park,34226,30725,4630,4285,5.6,0.1506916192026037,0.1394629780309194,0.2901545972335232,94.73684210526316,42.10526315789473,68.42,36.84,Medium (5%-10%),0.9999999999999992,3253,2,4,11,17,4.966984164085782,2013.2941176470588,94.74,5.26,41.58,15,46.31,13,38.42,17,32.1,16,41.58,15,0.048078438133475475,480784.38,2.4,48,515534.11,2.6,52,-34749.72999999998,-0.20000000000000018,-4
3261,Killarney,33258,29140,4290,4745,4.8,0.1472203157172271,0.16283459162663,0.3100549073438572,84.21052631578947,68.42105263157895,76.32,5.26,Low (<5%),0.9999911745050144,3261,0,0,6,6,1.8040772145047808,5543.0,42.11,57.89,53.03,8,63.68,6,45.92,13,56.45,8,53.03,8,0.051925249164885,519252.49,2.6,52,500953.47,2.5,50,18299.02000000002,0.10000000000000009,2
3262,Oakridge/Marpole,41569,37110,4310,6355,6.2,0.1161412018323902,0.1712476421449744,0.2873888439773646,47.368421052631575,78.94736842105263,63.16,57.89,Medium (5%-10%),0.9995150959304506,3262,1,0,6,7,1.6839471721715702,5938.428571428572,31.58,68.42,63.42,3,64.21,5,62.89,3,65.0,4,63.42,3,0.06372092407373815,637209.24,3.2,64,626139.11,3.1,63,11070.130000000005,0.10000000000000009,1
3263,Sunset,37170,36075,5390,5210,7.1,0.1494109494109494,0.1444213444213444,0.2938322938322938,89.47368421052632,52.63157894736842,71.05,78.95,Medium (5%-10%),0.9999991099327508,3263,2,0,3,5,1.3451708366962605,7434.0,15.79,84.21,76.97,1,75.79,2,77.76,1,78.82,1,76.97,1,0.06533291827514759,653329.18,3.3,65,559878.53,2.8,56,93450.65000000002,0.5,9
3264,Victoria-Fraserview,30753,30235,3795,5525,5.3,0.1255167851827352,0.1827352406151811,0.3082520257979163,57.89473684210527,94.73684210526316,76.32,26.32,Medium (5%-10%),0.999913824389449,3264,0,1,9,10,3.2517152798101,3075.3,78.95,21.05,47.24,13,54.74,7,42.24,14,41.18,13,47.24,13,0.0472737046738209,472737.05,2.4,47,463221.54,2.3,46,9515.51000000001,0.10000000000000009,1
