,count,mean,std,min,25%,50%,75%,max
CHSPOP_CEN,19.0,34941.78947368421,9888.675226287602,14223.0,31862.5,34866.0,40104.5,52713.0
YouthShare,19.0,0.11470537271296,0.03364704059167355,0.0420590753424657,0.0871268973059318,0.121446775142129,0.14435888159594806,0.1568168519602106
SeniorShare,19.0,0.14590637281222765,0.032350157370814,0.0794122244802251,0.12844451466321594,0.1444213444213444,0.1690182223622424,0.1981208053691275
LG_FRM_GNR,19.0,6.610526315789474,1.9601288894248496,4.8,5.449999999999999,6.1,7.0,13.5
FacilityCount,19.0,8.052631578947368,4.14291475775914,0.0,6.0,7.0,10.0,17.0
FacilitiesPer10K,19.0,2.381058086695969,1.412800093056971,0.0,1.6797401005582016,2.070393374741201,2.9549379163537477,5.109554867602416
CommunityVulnerabilityProxyScore,19.0,52.63157894736842,23.830387291849288,13.16,32.894999999999996,55.26,69.735,92.11
DataBlindspotScore,19.0,52.63157894736842,29.527076888690544,5.26,31.580000000000002,52.63,75.0,100.0
HealthcareSupplyGapScore,19.0,47.36842105263158,29.617147860123552,0.0,23.685000000000002,47.37,71.05000000000001,94.74
ResourcePriorityScore,19.0,51.05263157894736,12.902447589553294,26.97,43.16,51.71,58.355000000000004,76.97
