,CHSPOP_CEN,YouthShare,SeniorShare,LG_FRM_GNR,FacilityCount,FacilitiesPer10K,CommunityVulnerabilityProxyScore,DataBlindspotScore,HealthcareSupplyGapScore,ResourcePriorityScore
CHSPOP_CEN,1.0,-0.18421052631578946,0.0456140350877193,0.15750184675328346,0.24779731389167606,-0.2964912280701754,-0.07557129421294191,0.15750184675328346,0.2964912280701754,0.2246599601970845
YouthShare,-0.18421052631578946,1.0,0.29473684210526313,-0.572813978974232,-0.32390648887269086,-0.05964912280701754,0.7996497410904319,-0.572813978974232,0.05964912280701754,0.3247038487223487
SeniorShare,0.0456140350877193,0.29473684210526313,1.0,-0.3739568987158965,0.10177389677693838,0.05964912280701754,0.7978922691319913,-0.3739568987158965,-0.05964912280701754,0.4545853882112882
LG_FRM_GNR,0.15750184675328346,-0.572813978974232,-0.3739568987158965,1.0,0.12028606810140746,-0.0853501627657458,-0.6073165290712083,1.0,0.0853501627657458,0.1452469853549129
FacilityCount,0.24779731389167606,-0.32390648887269086,0.10177389677693838,0.12028606810140746,1.0,0.7849864907925596,-0.160908302155968,0.12028606810140746,-0.7849864907925596,-0.5569032752603774
FacilitiesPer10K,-0.2964912280701754,-0.05964912280701754,0.05964912280701754,-0.0853501627657458,0.7849864907925596,1.0,-0.04042185504413172,-0.0853501627657458,-1.0,-0.715226045158687
CommunityVulnerabilityProxyScore,-0.07557129421294191,0.7996497410904319,0.7978922691319913,-0.6073165290712083,-0.160908302155968,-0.04042185504413172,1.0,-0.6073165290712083,0.04042185504413172,0.48703339048930516
DataBlindspotScore,0.15750184675328346,-0.572813978974232,-0.3739568987158965,1.0,0.12028606810140746,-0.0853501627657458,-0.6073165290712083,1.0,0.0853501627657458,0.1452469853549129
HealthcareSupplyGapScore,0.2964912280701754,0.05964912280701754,-0.05964912280701754,0.0853501627657458,-0.7849864907925596,-1.0,0.04042185504413172,0.0853501627657458,1.0,0.715226045158687
ResourcePriorityScore,0.2246599601970845,0.3247038487223487,0.4545853882112882,0.1452469853549129,-0.5569032752603774,-0.715226045158687,0.48703339048930516,0.1452469853549129,0.715226045158687,1.0
