dataset,column,rows,inferred_type,non_null_count,null_count,null_pct,unique_count,min_numeric,max_numeric,sample_values
BCHACHSAPO,CH_SA_CODE,217,numeric,217,0,0.0,217,1110.0,5332.0,2311 | 2312 | 2313 | 2314 | 2315
BCHACHSAPO,CH_SA_NAME,217,text,217,0,0.0,217,,,City of Langley | Walnut Grove/Fort Langley | Willoughby | Brookswood/Murrayville | Aldergrove/Otter
BCHACHSAPO,CHSRBRL_CL,217,text,217,0,0.0,7,,,1 Metropolitan | 4 Small Urban | 6 Rural | 5 Rural Hub | 7 Remote
BCHACHSAPO,CHSPOP_CEN,217,numeric,217,0,0.0,217,745.0,78385.0,28963 | 29760 | 42745 | 23030 | 13868
BCHACHSAPO,HLT_A_CODE,217,numeric,217,0,0.0,88,111.0,533.0,231 | 232 | 233 | 331 | 332
BCHACHSAPO,HLT_A_NAME,217,text,217,0,0.0,88,,,Langley | Delta | Surrey | North Vancouver | West Vancouver/Bowen Island
BCHACHSAPO,HSD_A_CODE,217,numeric,217,0,0.0,16,11.0,53.0,23 | 33 | 41 | 42 | 43
BCHACHSAPO,HSD_A_NAME,217,text,217,0,0.0,16,,,Fraser South | North Shore/Coast Garibaldi | South Vancouver Island | Central Vancouver Island | North Vancouver Island
BCHACHSAPO,HSDA_ID,217,text,217,0,0.0,16,,,23 FS | 33 NSCG | 41 SVI | 42 CVI | 43 NVI
BCHACHSAPO,HAUTH_CODE,217,numeric,217,0,0.0,5,1.0,5.0,2 | 3 | 4 | 5 | 1
BCHACHSAPO,HAUTH_NAME,217,text,217,0,0.0,5,,,Fraser | Vancouver Coastal | Vancouver Island | Northern | Interior
BCHACHSAPO,HAUTH_ID,217,text,217,0,0.0,5,,,2 FHA | 3 VCHA | 4 VIHA | 5 NHA | 1 IHA
BCHACHSAPO,SH_FRM_DQF,217,numeric,217,0,0.0,7,0.0,20100.0,00000 | 00100 | 01100 | 01200 | 20100
BCHACHSAPO,LG_FRM_DFQ,217,numeric,217,0,0.0,16,0.0,20100.0,00001 | 00000 | 00101 | 00111 | 00100
BCHACHSAPO,SH_FRM_GNR,217,numeric,217,0,0.0,78,2.6,30.2,4.7 | 3.9 | 3.5 | 4.2 | 2.9
BCHACHSAPO,LG_FRM_GNR,217,numeric,217,0,0.0,92,2.7,1000.0,6.1 | 5.4 | 5.2 | 5.5 | 6.6
BCHACHSAPO,NIPH_TTL,217,numeric,217,0,0.0,196,80.0,24080.0,6205 | 3265 | 3765 | 3080 | 2055
BCHACHSAPO,NIPH_M_TTL,217,numeric,217,0,0.0,190,50.0,12620.0,2885 | 1175 | 1750 | 1320 | 1005
BCHACHSAPO,NIPH_F_TTL,217,numeric,217,0,0.0,188,25.0,11460.0,3320 | 2095 | 2020 | 1760 | 1050
BCHACHSAPO,GRP_A_TTL,217,numeric,217,0,0.0,214,430.0,80445.0,25315 | 29200 | 31440 | 21520 | 13065
BCHACHSAPO,0_14_A_TTL,217,numeric,217,0,0.0,193,75.0,14405.0,3900 | 5385 | 7075 | 3400 | 2565
BCHACHSAPO,0_4_A_TTL,217,numeric,217,0,0.0,165,10.0,4770.0,1380 | 1455 | 2475 | 1045 | 825
BCHACHSAPO,5_9_A_TTL,217,numeric,217,0,0.0,169,35.0,5105.0,1230 | 1860 | 2455 | 1205 | 830
BCHACHSAPO,10_14_A_TL,217,numeric,217,0,0.0,171,35.0,4530.0,1285 | 2070 | 2135 | 1150 | 910
BCHACHSAPO,15_64_A_TL,217,numeric,217,0,0.0,212,255.0,57590.0,16925 | 19170 | 21670 | 13635 | 8840
BCHACHSAPO,15_19_A_TL,217,numeric,217,0,0.0,170,25.0,4550.0,1345 | 2050 | 1970 | 1390 | 855
BCHACHSAPO,20_24_A_TL,217,numeric,217,0,0.0,176,10.0,6670.0,1355 | 1795 | 1750 | 1220 | 740
BCHACHSAPO,25_29_A_TL,217,numeric,217,0,0.0,173,35.0,7355.0,1780 | 1275 | 2295 | 865 | 785
BCHACHSAPO,30_34_A_TL,217,numeric,217,0,0.0,178,20.0,7210.0,1965 | 1315 | 2855 | 1260 | 910
BCHACHSAPO,35_39_A_TL,217,numeric,217,0,0.0,185,30.0,5745.0,1735 | 1800 | 2785 | 1125 | 905
BCHACHSAPO,40_44_A_TL,217,numeric,217,0,0.0,184,20.0,5385.0,1740 | 2130 | 2785 | 1125 | 900
BCHACHSAPO,45_49_A_TL,217,numeric,217,0,0.0,184,40.0,5795.0,1740 | 2230 | 2270 | 1505 | 910
BCHACHSAPO,50_54_A_TL,217,numeric,217,0,0.0,187,35.0,6240.0,1845 | 2490 | 1980 | 1765 | 1000
BCHACHSAPO,55_59_A_TL,217,numeric,217,0,0.0,191,20.0,5530.0,1730 | 2215 | 1615 | 1755 | 990
BCHACHSAPO,60_64_A_TL,217,numeric,217,0,0.0,187,15.0,5410.0,1700 | 1860 | 1355 | 1625 | 850
BCHACHSAPO,65PLS_A_TL,217,numeric,217,0,0.0,207,85.0,15710.0,4490 | 4650 | 2690 | 4485 | 1660
BCHACHSAPO,65_69_A_TL,217,numeric,217,0,0.0,174,30.0,5245.0,1615 | 1605 | 1065 | 1540 | 615
BCHACHSAPO,70_74_A_TL,217,numeric,217,0,0.0,171,15.0,4020.0,1060 | 1200 | 690 | 1140 | 425
BCHACHSAPO,75_79_A_TL,217,numeric,217,0,0.0,154,10.0,2800.0,665 | 780 | 420 | 820 | 255
BCHACHSAPO,80_84_A_TL,217,numeric,217,0,0.0,130,0.0,2045.0,525 | 570 | 245 | 510 | 200
BCHACHSAPO,85PLS_A_TL,217,numeric,217,0,0.0,114,0.0,1605.0,630 | 500 | 270 | 475 | 170
BCHACHSAPO,85_89_A_TL,217,numeric,217,0,0.0,106,0.0,1140.0,435 | 375 | 150 | 325 | 115
BCHACHSAPO,90_94_A_TL,217,numeric,217,0,0.0,56,0.0,425.0,155 | 105 | 100 | 145 | 40
BCHACHSAPO,95_99_A_TL,217,numeric,217,0,0.0,17,0.0,90.0,25 | 20 | 10 | 15 | 45
BCHACHSAPO,100_PLS_TL,217,numeric,217,0,0.0,5,0.0,25.0,10 | 0 | 15 | 20 | 25
BCHACHSAPO,GRP_M_TTL,217,numeric,217,0,0.0,213,215.0,39210.0,12210 | 13995 | 15340 | 10485 | 6460
BCHACHSAPO,0_14_M_TL,217,numeric,217,0,0.0,187,40.0,7435.0,2010 | 2720 | 3535 | 1740 | 1315
BCHACHSAPO,0_4_M_TTL,217,numeric,217,0,0.0,144,0.0,2565.0,755 | 775 | 1215 | 470 | 445
BCHACHSAPO,5_9_M_TTL,217,numeric,217,0,0.0,144,15.0,2655.0,645 | 900 | 1255 | 640 | 420
BCHACHSAPO,10_14_M_TL,217,numeric,217,0,0.0,144,20.0,2205.0,610 | 1045 | 1065 | 625 | 450
BCHACHSAPO,15_64_M_TL,217,numeric,217,0,0.0,207,135.0,28250.0,8240 | 9185 | 10615 | 6665 | 4395
BCHACHSAPO,15_19_M_TL,217,numeric,217,0,0.0,155,10.0,2365.0,675 | 1035 | 990 | 780 | 525
BCHACHSAPO,20_24_M_TL,217,numeric,217,0,0.0,145,0.0,3555.0,645 | 925 | 910 | 550 | 385
BCHACHSAPO,25_29_M_TL,217,numeric,217,0,0.0,156,0.0,3845.0,880 | 610 | 1040 | 440 | 350
BCHACHSAPO,30_34_M_TL,217,numeric,217,0,0.0,158,0.0,3845.0,990 | 625 | 1370 | 615 | 460
BCHACHSAPO,35_39_M_TL,217,numeric,217,0,0.0,163,15.0,2735.0,850 | 805 | 1375 | 565 | 420
BCHACHSAPO,40_44_M_TL,217,numeric,217,0,0.0,145,10.0,2665.0,810 | 1050 | 1350 | 535 | 415
BCHACHSAPO,45_49_M_TL,217,numeric,217,0,0.0,162,15.0,2630.0,835 | 965 | 1115 | 700 | 490
BCHACHSAPO,50_54_M_TL,217,numeric,217,0,0.0,156,15.0,2855.0,955 | 1215 | 1025 | 805 | 435
BCHACHSAPO,55_59_M_TL,217,numeric,217,0,0.0,169,10.0,2605.0,860 | 1045 | 785 | 875 | 535
BCHACHSAPO,60_64_M_TL,217,numeric,217,0,0.0,158,10.0,2510.0,740 | 900 | 665 | 795 | 380
BCHACHSAPO,65PLS_M_TL,217,numeric,217,0,0.0,192,40.0,7445.0,1955 | 2095 | 1185 | 2085 | 750
BCHACHSAPO,65_69_M_TL,217,numeric,217,0,0.0,147,0.0,2470.0,735 | 815 | 460 | 730 | 275
BCHACHSAPO,70_74_M_TL,217,numeric,217,0,0.0,132,0.0,1975.0,470 | 500 | 350 | 520 | 210
BCHACHSAPO,75_79_M_TL,217,numeric,217,0,0.0,104,10.0,1330.0,295 | 285 | 195 | 415 | 120
BCHACHSAPO,80_84_M_TL,217,numeric,217,0,0.0,94,0.0,955.0,235 | 280 | 90 | 240 | 100
BCHACHSAPO,85PLS_M_TL,217,numeric,217,0,0.0,76,0.0,715.0,220 | 210 | 90 | 175 | 50
BCHACHSAPO,85_89_M_TL,217,numeric,217,0,0.0,60,0.0,560.0,170 | 150 | 45 | 145 | 30
BCHACHSAPO,90_95_M_TL,217,numeric,217,0,0.0,27,0.0,190.0,50 | 60 | 35 | 30 | 10
BCHACHSAPO,95_99_M_TL,217,numeric,217,0,0.0,6,0.0,40.0,10 | 0 | 15 | 25 | 20
BCHACHSAPO,100_P_M_TL,217,numeric,217,0,0.0,3,0.0,20.0,0 | 10 | 20
BCHACHSAPO,GRP_F_TTL,217,numeric,217,0,0.0,213,215.0,41230.0,13110 | 15210 | 16100 | 11040 | 6605
BCHACHSAPO,0_14_F_TTL,217,numeric,217,0,0.0,179,35.0,6970.0,1885 | 2665 | 3545 | 1665 | 1250
BCHACHSAPO,0_4_F_TTL,217,numeric,217,0,0.0,137,0.0,2200.0,630 | 680 | 1265 | 570 | 380
BCHACHSAPO,5_9_F_TTL,217,numeric,217,0,0.0,137,20.0,2445.0,590 | 960 | 1200 | 565 | 410
BCHACHSAPO,10_14_F_TL,217,numeric,217,0,0.0,154,15.0,2320.0,670 | 1025 | 1075 | 525 | 465
BCHACHSAPO,15_64_F_TL,217,numeric,217,0,0.0,212,115.0,29340.0,8685 | 9985 | 11055 | 6970 | 4445
BCHACHSAPO,15_19_F_TL,217,numeric,217,0,0.0,146,10.0,2290.0,670 | 1015 | 975 | 610 | 330
BCHACHSAPO,20_24_F_TL,217,numeric,217,0,0.0,152,0.0,3115.0,705 | 865 | 840 | 660 | 355
BCHACHSAPO,25_29_F_TL,217,numeric,217,0,0.0,154,15.0,3875.0,900 | 665 | 1260 | 430 | 425
BCHACHSAPO,30_34_F_TL,217,numeric,217,0,0.0,153,10.0,3365.0,970 | 685 | 1485 | 645 | 445
BCHACHSAPO,35_39_F_TL,217,numeric,217,0,0.0,152,10.0,3010.0,885 | 995 | 1415 | 560 | 485
BCHACHSAPO,40_44_F_TL,217,numeric,217,0,0.0,150,15.0,2815.0,925 | 1085 | 1435 | 595 | 485
BCHACHSAPO,45_49_F_TL,217,numeric,217,0,0.0,158,20.0,3160.0,910 | 1265 | 1155 | 805 | 425
BCHACHSAPO,50_54_F_TL,217,numeric,217,0,0.0,165,10.0,3385.0,895 | 1275 | 955 | 960 | 565
BCHACHSAPO,55_59_F_TL,217,numeric,217,0,0.0,162,15.0,2950.0,865 | 1170 | 830 | 880 | 450
BCHACHSAPO,60_64_F_TL,217,numeric,217,0,0.0,165,10.0,2895.0,960 | 965 | 695 | 830 | 475
BCHACHSAPO,65PLS_F_TL,217,numeric,217,0,0.0,194,35.0,8270.0,2535 | 2560 | 1505 | 2405 | 910
BCHACHSAPO,65_69_F_TL,217,numeric,217,0,0.0,149,15.0,2770.0,880 | 785 | 610 | 805 | 340
BCHACHSAPO,70_74_F_TL,217,numeric,217,0,0.0,135,10.0,2045.0,585 | 700 | 340 | 620 | 215
BCHACHSAPO,75_79_F_TL,217,numeric,217,0,0.0,120,10.0,1475.0,370 | 495 | 230 | 405 | 130
BCHACHSAPO,80_84_F_TL,217,numeric,217,0,0.0,99,0.0,1095.0,295 | 290 | 150 | 275 | 105
BCHACHSAPO,85PLS_F_TL,217,numeric,217,0,0.0,91,0.0,925.0,405 | 290 | 180 | 295 | 120
BCHACHSAPO,85_89_F_TL,217,numeric,217,0,0.0,75,0.0,645.0,270 | 225 | 105 | 180 | 80
BCHACHSAPO,90_95_F_TL,217,numeric,217,0,0.0,36,0.0,270.0,105 | 45 | 60 | 110 | 25
BCHACHSAPO,95_99_F_TL,217,numeric,217,0,0.0,12,0.0,75.0,25 | 15 | 0 | 10 | 20
BCHACHSAPO,AG_100_PFT,217,numeric,217,0,0.0,3,0.0,15.0,10 | 0 | 15
BCHACHSAPO,B_GRP_A_TL,217,numeric,217,0,0.0,9,99.2,100.6,100 | 99.9 | 100.1 | 100.6 | 100.3
BCHACHSAPO,AB0_14_A_T,217,numeric,217,0,0.0,110,4.2,24.7,15.4 | 18.4 | 22.5 | 15.8 | 19.6
BCHACHSAPO,AB15_64A_T,217,numeric,217,0,0.0,133,43.2,83.4,66.9 | 65.6 | 68.9 | 63.3 | 67.6
BCHACHSAPO,AB65_P_A_T,217,numeric,217,0,0.0,142,6.3,50.4,17.7 | 15.9 | 8.6 | 20.8 | 12.7
BCHACHSAPO,AB85_P_A_T,217,numeric,217,0,0.0,44,0.0,6.8,2.5 | 1.7 | 0.9 | 2.2 | 1.3
BCHACHSAPO,B_GRP_M_TL,217,numeric,217,0,0.0,13,99.1,101.6,100 | 99.9 | 100.1 | 99.6 | 99.8
