column,value,count
odhf_facility_type,Nursing and residential care facilities,4444
odhf_facility_type,Ambulatory health care services,2727
odhf_facility_type,Hospitals,1853
odhf_facility_type,<NULL>,13
odhf_facility_type,nursing and residential care facilities,2
province,on,3733
province,qc,2359
province,bc,1492
province,sk,473
province,ab,331
province,mb,214
province,ns,195
province,nl,96
province,nb,62
province,yt,39
province,pe,35
province,nt,7
province,nu,3
city,toronto,536
city,montréal,258
city,ottawa,224
city,vancouver,196
city,hamilton,147
city,victoria,128
city,québec,120
city,<NULL>,105
city,surrey,102
city,london,95
city,laval,88
city,mississauga,83
city,gatineau,79
city,windsor,76
city,calgary,66
city,trois-rivières,66
city,burnaby,64
city,edmonton,62
city,thunder bay,60
city,abbotsford,58
city,winnipeg,58
city,brampton,57
city,kitchener,56
city,sherbrooke,53
city,sudbury,53
city,north vancouver,52
city,regina,52
city,richmond,50
city,oakville,46
city,kingston,46
city,st catharines,46
city,barrie,46
city,kelowna,43
city,saguenay,42
city,nanaimo,40
city,saskatoon,40
city,kamloops,39
city,peterborough,39
city,burlington,39
city,langley,37
city,longueuil,37
city,brantford,36
city,chatham-kent,36
city,coquitlam,34
city,vernon,32
city,guelph,32
city,niagara falls,32
city,sarnia,31
city,belleville,30
city,owen sound,30
city,orillia,30
city,cambridge,29
city,sault ste marie,29
city,lévis,29
city,timmins,28
city,waterloo,28
city,terrebonne,28
city,newmarket,27
city,cornwall,27
city,oshawa,27
city,stratford,27
city,rouyn-noranda,27
city,delta,26
city,maple ridge,26
city,prince george,26
city,markham,26
city,north bay,26
city,richmond hill,26
city,saint-jérôme,26
city,brockville,25
city,granby,25
city,campbell river,24
city,duncan,24
city,vaughan,24
city,rimouski,24
city,welland,23
city,scarborough,23
city,saint-hyacinthe,23
city,chilliwack,21
city,whitby,21
city,gaspé,20
city,whitehorse,20
city,halifax,19
city,kenora,19
city,new westminster,18
city,kawartha lakes,18
city,thetford mines,18
city,victoriaville,18
city,penetanguishene,17
city,pembroke,17
city,joliette,17
city,salmon arm,16
city,penticton,16
city,saint thomas,16
city,collingwood,16
city,leamington,16
city,shawinigan,16
city,baie-comeau,16
city,la sarre,16
city,north battleford,16
city,powell river,15
city,orangeville,15
city,woodstock,15
city,etobicoke,15
city,grimsby,15
city,alma,15
city,drummondville,15
city,repentigny,15
city,val-dor,15
city,sept-îles,15
city,saint-eustache,15
city,prince albert,15
city,williams lake,14
city,port coquitlam,14
city,milton,14
city,fort erie,14
city,simcoe,14
city,midland,14
city,pointe-claire,14
city,roberval,14
city,rivière-du-loup,14
city,courtenay,13
city,huntsville,13
city,cobourg,13
city,mont-joli,13
city,sainte-anne-des-monts,13
city,amos,13
city,maniwaki,13
city,matane,13
city,port alberni,12
city,west vancouver,12
city,nelson,12
city,aurora,12
city,ajax,12
city,hawkesbury,12
city,dolbeau-mistassini,12
city,saint-charles-borromée,12
city,dawson creek,11
city,mission,11
city,st johns,11
city,sydney,11
city,dartmouth,11
city,parry sound,11
city,fort frances,11
city,port hope,11
city,sorel-tracy,11
city,saint-jean-sur-richelieu,11
city,mont-laurier,11
city,medicine hat,10
city,cochrane,10
city,white rock,10
city,goderich,10
city,bracebridge,10
city,arnprior,10
city,renfrew,10
city,temiskaming shores,10
city,salaberry-de-valleyfield,10
city,beloeil,10
city,amqui,10
city,cowansville,10
city,saint-georges,10
city,la tuque,10
city,montmagny,10
city,chandler,10
city,yorkton,10
city,moose jaw,10
city,weyburn,10
city,castlegar,9
city,cranbrook,9
city,sidney,9
city,creston,9
city,sechelt,9
city,shelburne,9
city,pickering,9
city,ingersoll,9
city,blind river,9
city,clinton,9
city,edward,9
city,campbellford,9
city,listowel,9
city,north york,9
city,sioux lookout,9
city,tillsonburg,9
city,charlottetown,9
city,sainte-agathe-des-monts,9
city,la pêche,9
city,la malbaie,9
city,ville-marie,9
city,louiseville,9
city,selkirk,8
city,petrolia,8
city,thessalon,8
city,hagersville,8
city,bancroft,8
city,halton hills,8
city,mount forest,8
city,bowmanville,8
city,smiths falls,8
city,walkerton,8
city,perth,8
city,haliburton,8
city,essex,8
city,quinte west,8
city,dryden,8
city,port perry,8
city,little current,8
city,asbestos,8
city,lac-mégantic,8
city,témiscouata-sur-le-lac,8
city,camrose,7
city,lloydminster,7
city,parksville,7
city,west kelowna,7
city,saint john,7
city,moncton,7
