dataset,physical_column,logical_name,source_type,definition
BCHACHSAPO,CH_SA_CODE,CMNTY_HLTH_SERV_AREA_CODE,CHAR,"Is the number of the Community Health Service Area, e.g., 1220, 2223, 4252."
BCHACHSAPO,CH_SA_NAME,CMNTY_HLTH_SERV_AREA_NAME,VARCHAR2,"Is the name of the Community Health Service Area, e.g., Nelson, Burnaby Southwest, Qualicum Beach."
BCHACHSAPO,CHSRBRL_CL,CHSA_URBAN_RURAL_CLASS,VARCHAR2,"Is the class of the Community Heath Service Area, e.g., 6 Rural, 1 Metro, 4  Urban/Rural."
BCHACHSAPO,CHSPOP_CEN,CHSA_POPULATION_CENSUS,NUMBER,Is the population of the Community Health Service Area base on census values.
BCHACHSAPO,HLT_A_CODE,LOCAL_HLTH_AREA_CODE,CHAR,"Is the number of the Local Health Area, e.g., 122, 222, 425."
BCHACHSAPO,HLT_A_NAME,LOCAL_HLTH_AREA_NAME,VARCHAR2,"Is the name of the Local Health Area, e.g., Nelson, Burnaby, Oceanside."
BCHACHSAPO,HSD_A_CODE,HLTH_SERVICE_DLVR_AREA_CODE,CHAR,"Is the number of the Health Service Delivery Area, e.g., 12, 22, 42."
BCHACHSAPO,HSD_A_NAME,HLTH_SERVICE_DLVR_AREA_NAME,VARCHAR2,"Is the name of the Health Service Delivery Area, e.g., Kootenay Boundary, Fraser North, Central Vancouver Island."
BCHACHSAPO,HSDA_ID,HLTH_SERVICE_DLVR_AREA_ID,VARCHAR2,"Is the number and acronymn of the Health Service Delivery Area, e.g., 12 KB, 22 FN, 42 CVI."
BCHACHSAPO,HAUTH_CODE,HLTH_AUTHORITY_CODE,CHAR,"Is the number of the Health Authority, e.g., 1, 2, 3, 4, 5."
BCHACHSAPO,HAUTH_NAME,HLTH_AUTHORITY_NAME,VARCHAR2,"Is the name of the Health Authority, e.g., Interior, Fraser, Vancouver Coastal, Vancouver Island, Northern."
BCHACHSAPO,HAUTH_ID,HLTH_AUTHORITY_ID,VARCHAR2,"Is the number and acronymn of the Health Authority, e.g., 1 IHA, 2 FHA, 3 VCH, 4 VIH, 5 NHA."
BCHACHSAPO,SH_FRM_DQF,SHORT_FORM_DQF,CHAR,"The data quality flags for this region for census short form results, e.g., 00100"
BCHACHSAPO,LG_FRM_DFQ,LONG_FORM_DQF,CHAR,"The data quality flags for this region for census long form results, e.g., 00100"
BCHACHSAPO,SH_FRM_GNR,SHORT_FORM_GNR,NUMBER,The global non-response percentage for this region for the census short form.
BCHACHSAPO,LG_FRM_GNR,LONG_FORM_GNR,NUMBER,The global non-response percentage for this region for the census long form.
BCHACHSAPO,NIPH_TTL,NOTIN_PRIV_HSHLD_TOTAL,NUMBER,Total - Persons not in census families in private households - 100% data
BCHACHSAPO,NIPH_M_TTL,NOTIN_PRIV_HSHLD_MALE_TOTAL,NUMBER,Total - Males not in census families in private households - 100% data
BCHACHSAPO,NIPH_F_TTL,NOTIN_PRIV_HSHLD_FEMALE_TOTAL,NUMBER,Total - Females not in census families in private households - 100% data
BCHACHSAPO,GRP_A_TTL,AGE_GROUPS_ALL_TOTAL,NUMBER,Total - Age groups of the population in private households - 25% sample data
BCHACHSAPO,0_14_A_TTL,AGE_0_14_ALL_TOTAL,NUMBER,Number of people aged 0 to 14 years in private households - 25% sample data
BCHACHSAPO,0_4_A_TTL,AGE_0_4_ALL_TOTAL,NUMBER,Number of people aged 0 to 4 years in private households - 25% sample data
BCHACHSAPO,5_9_A_TTL,AGE_5_9_ALL_TOTAL,NUMBER,Number of people aged 5 to 9 years in private households - 25% sample data
BCHACHSAPO,10_14_A_TL,AGE_10_14_ALL_TOTAL,NUMBER,Number of people aged 10 to 14 years in private households - 25% sample data
BCHACHSAPO,15_64_A_TL,AGE_15_64_ALL_TOTAL,NUMBER,Number of people aged 15 to 64 years in private households - 25% sample data
BCHACHSAPO,15_19_A_TL,AGE_15_19_ALL_TOTAL,NUMBER,Number of people aged 15 to 19 years in private households - 25% sample data
BCHACHSAPO,20_24_A_TL,AGE_20_24_ALL_TOTAL,NUMBER,Number of people aged 20 to 24 years in private households - 25% sample data
BCHACHSAPO,25_29_A_TL,AGE_25_29_ALL_TOTAL,NUMBER,Number of people aged 25 to 29 years in private households - 25% sample data
BCHACHSAPO,30_34_A_TL,AGE_30_34_ALL_TOTAL,NUMBER,Number of people aged 30 to 34 years in private households - 25% sample data
BCHACHSAPO,35_39_A_TL,AGE_35_39_ALL_TOTAL,NUMBER,Number of people aged 35 to 39 years in private households - 25% sample data
BCHACHSAPO,40_44_A_TL,AGE_40_44_ALL_TOTAL,NUMBER,Number of people aged 40 to 44 years in private households - 25% sample data
BCHACHSAPO,45_49_A_TL,AGE_45_49_ALL_TOTAL,NUMBER,Number of people aged 45 to 49 years in private households - 25% sample data
BCHACHSAPO,50_54_A_TL,AGE_50_54_ALL_TOTAL,NUMBER,Number of people aged 50 to 54 years in private households - 25% sample data
